state,url
Alabama,http://www.al.com
Alaska,https://www.adn.com
Arizona,https://www.azcentral.com
Arkansas,https://arktimes.com
California,https://www.latimes.com
Colorado,https://www.denverpost.com
Connecticut,https://www.courant.com
Delaware,https://www.delawareonline.com
Florida,https://www.tampabay.com
Georgia,https://www.ajc.com
Hawaii,https://www.midweek.com
Idaho,https://www.idahostatesman.com
Illinois,https://www.chicagotribune.com
Indiana,https://www.indystar.com
Iowa,https://www.desmoinesregister.com
Kansas,https://www.kansas.com
Kentucky,https://www.courier-journal.com
Louisiana,https://www.shreveporttimes.com
Maine,https://www.pressherald.com
Maryland,https://www.baltimoresun.com
Massachusetts,https://www.bostonglobe.com
Michigan,https://www.freep.com
Minnesota,https://www.startribune.com
Mississippi,https://www.meridianstar.com
Missouri,https://www.stltoday.com
Montana,http://www.billingsgazette.com
Nebraska,https://omaha.com
Nevada,https://www.reviewjournal.com
New Hampshire,https://www.unionleader.com
New Jersey,https://www.nj.com
New Mexico,https://www.scsun-news.com
New York,https://www.nytimes.com
North Carolina,https://www.charlotteobserver.com
North Dakota,https://bismarcktribune.com
Ohio,https://www.dispatch.com
Oklahoma,https://www.oklahoman.com
Oregon,https://www.oregonlive.com
Pennsylvania,https://www.post-gazette.com
Rhode Island,https://www.newportri.com
South Carolina,https://www.postandcourier.com
South Dakota,https://www.argusleader.com
Tennessee,https://www.knoxnews.com
Texas,https://www.dallasnews.com
Utah,http://www.sltrib.com
Vermont,https://www.burlingtonfreepress.com
Virginia,https://www.pilotonline.com
Washington,https://www.seattletimes.com
West Virginia,https://www.herald-dispatch.com
Wisonsin,https://madison.com
Wyoming,https://trib.com