"","state_one","state_two","mask_mandates_overLap"
"1","AK","AL",97
"2","AK","AR",101
"3","AK","AZ",266
"4","AK","CA",69
"5","AK","CO",97
"6","AK","CT",10
"7","AK","DE",18
"8","AK","FL",266
"9","AK","GA",266
"10","AK","HI",7
"11","AK","IA",221
"12","AK","ID",266
"13","AK","IL",21
"14","AK","IN",108
"15","AK","KS",84
"16","AK","KY",91
"17","AK","LA",94
"18","AK","MA",26
"19","AK","MD",8
"20","AK","ME",21
"21","AK","MI",19
"22","AK","MN",105
"23","AK","MO",266
"24","AK","MS",180
"25","AK","MT",96
"26","AK","NC",77
"27","AK","ND",218
"28","AK","NE",266
"29","AK","NH",224
"30","AK","NJ",0
"31","AK","NM",35
"32","AK","NV",75
"33","AK","NY",7
"34","AK","OH",104
"35","AK","OK",266
"36","AK","OR",82
"37","AK","PA",9
"38","AK","RI",28
"39","AK","SC",266
"40","AK","SD",266
"41","AK","TN",266
"42","AK","TX",84
"43","AK","UT",187
"44","AK","VA",49
"45","AK","VT",113
"46","AK","WA",77
"47","AK","WI",113
"48","AK","WV",88
"49","AK","WY",266
"50","AL","AR",262
"51","AL","AZ",97
"52","AL","CA",238
"53","AL","CO",266
"54","AL","CT",179
"55","AL","DE",187
"56","AL","FL",97
"57","AL","GA",97
"58","AL","HI",176
"59","AL","IA",142
"60","AL","ID",97
"61","AL","IL",190
"62","AL","IN",255
"63","AL","KS",253
"64","AL","KY",260
"65","AL","LA",263
"66","AL","MA",195
"67","AL","MD",177
"68","AL","ME",190
"69","AL","MI",182
"70","AL","MN",258
"71","AL","MO",97
"72","AL","MS",183
"73","AL","MT",265
"74","AL","NC",246
"75","AL","ND",145
"76","AL","NE",97
"77","AL","NH",139
"78","AL","NJ",169
"79","AL","NM",204
"80","AL","NV",244
"81","AL","NY",176
"82","AL","OH",259
"83","AL","OK",97
"84","AL","OR",251
"85","AL","PA",178
"86","AL","RI",197
"87","AL","SC",97
"88","AL","SD",97
"89","AL","TN",97
"90","AL","TX",253
"91","AL","UT",176
"92","AL","VA",218
"93","AL","VT",250
"94","AL","WA",246
"95","AL","WI",250
"96","AL","WV",257
"97","AL","WY",97
"98","AR","AZ",101
"99","AR","CA",234
"100","AR","CO",262
"101","AR","CT",175
"102","AR","DE",183
"103","AR","FL",101
"104","AR","GA",101
"105","AR","HI",172
"106","AR","IA",146
"107","AR","ID",101
"108","AR","IL",186
"109","AR","IN",259
"110","AR","KS",249
"111","AR","KY",256
"112","AR","LA",259
"113","AR","MA",191
"114","AR","MD",173
"115","AR","ME",186
"116","AR","MI",178
"117","AR","MN",262
"118","AR","MO",101
"119","AR","MS",187
"120","AR","MT",261
"121","AR","NC",242
"122","AR","ND",149
"123","AR","NE",101
"124","AR","NH",143
"125","AR","NJ",165
"126","AR","NM",200
"127","AR","NV",240
"128","AR","NY",172
"129","AR","OH",263
"130","AR","OK",101
"131","AR","OR",247
"132","AR","PA",174
"133","AR","RI",193
"134","AR","SC",101
"135","AR","SD",101
"136","AR","TN",101
"137","AR","TX",249
"138","AR","UT",180
"139","AR","VA",214
"140","AR","VT",254
"141","AR","WA",242
"142","AR","WI",254
"143","AR","WV",253
"144","AR","WY",101
"145","AZ","CA",69
"146","AZ","CO",97
"147","AZ","CT",10
"148","AZ","DE",18
"149","AZ","FL",266
"150","AZ","GA",266
"151","AZ","HI",7
"152","AZ","IA",221
"153","AZ","ID",266
"154","AZ","IL",21
"155","AZ","IN",108
"156","AZ","KS",84
"157","AZ","KY",91
"158","AZ","LA",94
"159","AZ","MA",26
"160","AZ","MD",8
"161","AZ","ME",21
"162","AZ","MI",19
"163","AZ","MN",105
"164","AZ","MO",266
"165","AZ","MS",180
"166","AZ","MT",96
"167","AZ","NC",77
"168","AZ","ND",218
"169","AZ","NE",266
"170","AZ","NH",224
"171","AZ","NJ",0
"172","AZ","NM",35
"173","AZ","NV",75
"174","AZ","NY",7
"175","AZ","OH",104
"176","AZ","OK",266
"177","AZ","OR",82
"178","AZ","PA",9
"179","AZ","RI",28
"180","AZ","SC",266
"181","AZ","SD",266
"182","AZ","TN",266
"183","AZ","TX",84
"184","AZ","UT",187
"185","AZ","VA",49
"186","AZ","VT",113
"187","AZ","WA",77
"188","AZ","WI",113
"189","AZ","WV",88
"190","AZ","WY",266
"191","CA","CO",238
"192","CA","CT",207
"193","CA","DE",215
"194","CA","FL",69
"195","CA","GA",69
"196","CA","HI",204
"197","CA","IA",114
"198","CA","ID",69
"199","CA","IL",218
"200","CA","IN",227
"201","CA","KS",251
"202","CA","KY",244
"203","CA","LA",241
"204","CA","MA",223
"205","CA","MD",205
"206","CA","ME",218
"207","CA","MI",210
"208","CA","MN",230
"209","CA","MO",69
"210","CA","MS",155
"211","CA","MT",239
"212","CA","NC",258
"213","CA","ND",117
"214","CA","NE",69
"215","CA","NH",111
"216","CA","NJ",197
"217","CA","NM",232
"218","CA","NV",260
"219","CA","NY",204
"220","CA","OH",231
"221","CA","OK",69
"222","CA","OR",253
"223","CA","PA",206
"224","CA","RI",225
"225","CA","SC",69
"226","CA","SD",69
"227","CA","TN",69
"228","CA","TX",251
"229","CA","UT",148
"230","CA","VA",246
"231","CA","VT",222
"232","CA","WA",258
"233","CA","WI",222
"234","CA","WV",247
"235","CA","WY",69
"236","CO","CT",179
"237","CO","DE",187
"238","CO","FL",97
"239","CO","GA",97
"240","CO","HI",176
"241","CO","IA",142
"242","CO","ID",97
"243","CO","IL",190
"244","CO","IN",255
"245","CO","KS",253
"246","CO","KY",260
"247","CO","LA",263
"248","CO","MA",195
"249","CO","MD",177
"250","CO","ME",190
"251","CO","MI",182
"252","CO","MN",258
"253","CO","MO",97
"254","CO","MS",183
"255","CO","MT",265
"256","CO","NC",246
"257","CO","ND",145
"258","CO","NE",97
"259","CO","NH",139
"260","CO","NJ",169
"261","CO","NM",204
"262","CO","NV",244
"263","CO","NY",176
"264","CO","OH",259
"265","CO","OK",97
"266","CO","OR",251
"267","CO","PA",178
"268","CO","RI",197
"269","CO","SC",97
"270","CO","SD",97
"271","CO","TN",97
"272","CO","TX",253
"273","CO","UT",176
"274","CO","VA",218
"275","CO","VT",250
"276","CO","WA",246
"277","CO","WI",250
"278","CO","WV",257
"279","CO","WY",97
"280","CT","DE",258
"281","CT","FL",10
"282","CT","GA",10
"283","CT","HI",263
"284","CT","IA",55
"285","CT","ID",10
"286","CT","IL",255
"287","CT","IN",168
"288","CT","KS",192
"289","CT","KY",185
"290","CT","LA",182
"291","CT","MA",250
"292","CT","MD",264
"293","CT","ME",255
"294","CT","MI",257
"295","CT","MN",171
"296","CT","MO",10
"297","CT","MS",96
"298","CT","MT",180
"299","CT","NC",199
"300","CT","ND",58
"301","CT","NE",10
"302","CT","NH",52
"303","CT","NJ",256
"304","CT","NM",241
"305","CT","NV",201
"306","CT","NY",263
"307","CT","OH",172
"308","CT","OK",10
"309","CT","OR",194
"310","CT","PA",265
"311","CT","RI",248
"312","CT","SC",10
"313","CT","SD",10
"314","CT","TN",10
"315","CT","TX",192
"316","CT","UT",89
"317","CT","VA",227
"318","CT","VT",163
"319","CT","WA",199
"320","CT","WI",163
"321","CT","WV",188
"322","CT","WY",10
"323","DE","FL",18
"324","DE","GA",18
"325","DE","HI",255
"326","DE","IA",63
"327","DE","ID",18
"328","DE","IL",263
"329","DE","IN",176
"330","DE","KS",200
"331","DE","KY",193
"332","DE","LA",190
"333","DE","MA",258
"334","DE","MD",256
"335","DE","ME",263
"336","DE","MI",261
"337","DE","MN",179
"338","DE","MO",18
"339","DE","MS",104
"340","DE","MT",188
"341","DE","NC",207
"342","DE","ND",66
"343","DE","NE",18
"344","DE","NH",60
"345","DE","NJ",248
"346","DE","NM",249
"347","DE","NV",209
"348","DE","NY",255
"349","DE","OH",180
"350","DE","OK",18
"351","DE","OR",202
"352","DE","PA",257
"353","DE","RI",256
"354","DE","SC",18
"355","DE","SD",18
"356","DE","TN",18
"357","DE","TX",200
"358","DE","UT",97
"359","DE","VA",235
"360","DE","VT",171
"361","DE","WA",207
"362","DE","WI",171
"363","DE","WV",196
"364","DE","WY",18
"365","FL","GA",266
"366","FL","HI",7
"367","FL","IA",221
"368","FL","ID",266
"369","FL","IL",21
"370","FL","IN",108
"371","FL","KS",84
"372","FL","KY",91
"373","FL","LA",94
"374","FL","MA",26
"375","FL","MD",8
"376","FL","ME",21
"377","FL","MI",19
"378","FL","MN",105
"379","FL","MO",266
"380","FL","MS",180
"381","FL","MT",96
"382","FL","NC",77
"383","FL","ND",218
"384","FL","NE",266
"385","FL","NH",224
"386","FL","NJ",0
"387","FL","NM",35
"388","FL","NV",75
"389","FL","NY",7
"390","FL","OH",104
"391","FL","OK",266
"392","FL","OR",82
"393","FL","PA",9
"394","FL","RI",28
"395","FL","SC",266
"396","FL","SD",266
"397","FL","TN",266
"398","FL","TX",84
"399","FL","UT",187
"400","FL","VA",49
"401","FL","VT",113
"402","FL","WA",77
"403","FL","WI",113
"404","FL","WV",88
"405","FL","WY",266
"406","GA","HI",7
"407","GA","IA",221
"408","GA","ID",266
"409","GA","IL",21
"410","GA","IN",108
"411","GA","KS",84
"412","GA","KY",91
"413","GA","LA",94
"414","GA","MA",26
"415","GA","MD",8
"416","GA","ME",21
"417","GA","MI",19
"418","GA","MN",105
"419","GA","MO",266
"420","GA","MS",180
"421","GA","MT",96
"422","GA","NC",77
"423","GA","ND",218
"424","GA","NE",266
"425","GA","NH",224
"426","GA","NJ",0
"427","GA","NM",35
"428","GA","NV",75
"429","GA","NY",7
"430","GA","OH",104
"431","GA","OK",266
"432","GA","OR",82
"433","GA","PA",9
"434","GA","RI",28
"435","GA","SC",266
"436","GA","SD",266
"437","GA","TN",266
"438","GA","TX",84
"439","GA","UT",187
"440","GA","VA",49
"441","GA","VT",113
"442","GA","WA",77
"443","GA","WI",113
"444","GA","WV",88
"445","GA","WY",266
"446","HI","IA",52
"447","HI","ID",7
"448","HI","IL",252
"449","HI","IN",165
"450","HI","KS",189
"451","HI","KY",182
"452","HI","LA",179
"453","HI","MA",247
"454","HI","MD",265
"455","HI","ME",252
"456","HI","MI",254
"457","HI","MN",168
"458","HI","MO",7
"459","HI","MS",93
"460","HI","MT",177
"461","HI","NC",196
"462","HI","ND",55
"463","HI","NE",7
"464","HI","NH",49
"465","HI","NJ",259
"466","HI","NM",238
"467","HI","NV",198
"468","HI","NY",266
"469","HI","OH",169
"470","HI","OK",7
"471","HI","OR",191
"472","HI","PA",264
"473","HI","RI",245
"474","HI","SC",7
"475","HI","SD",7
"476","HI","TN",7
"477","HI","TX",189
"478","HI","UT",86
"479","HI","VA",224
"480","HI","VT",160
"481","HI","WA",196
"482","HI","WI",160
"483","HI","WV",185
"484","HI","WY",7
"485","IA","ID",221
"486","IA","IL",66
"487","IA","IN",153
"488","IA","KS",129
"489","IA","KY",136
"490","IA","LA",139
"491","IA","MA",71
"492","IA","MD",53
"493","IA","ME",66
"494","IA","MI",64
"495","IA","MN",150
"496","IA","MO",221
"497","IA","MS",195
"498","IA","MT",141
"499","IA","NC",122
"500","IA","ND",263
"501","IA","NE",221
"502","IA","NH",263
"503","IA","NJ",45
"504","IA","NM",80
"505","IA","NV",120
"506","IA","NY",52
"507","IA","OH",149
"508","IA","OK",221
"509","IA","OR",127
"510","IA","PA",54
"511","IA","RI",73
"512","IA","SC",221
"513","IA","SD",221
"514","IA","TN",221
"515","IA","TX",129
"516","IA","UT",232
"517","IA","VA",94
"518","IA","VT",158
"519","IA","WA",122
"520","IA","WI",158
"521","IA","WV",133
"522","IA","WY",221
"523","ID","IL",21
"524","ID","IN",108
"525","ID","KS",84
"526","ID","KY",91
"527","ID","LA",94
"528","ID","MA",26
"529","ID","MD",8
"530","ID","ME",21
"531","ID","MI",19
"532","ID","MN",105
"533","ID","MO",266
"534","ID","MS",180
"535","ID","MT",96
"536","ID","NC",77
"537","ID","ND",218
"538","ID","NE",266
"539","ID","NH",224
"540","ID","NJ",0
"541","ID","NM",35
"542","ID","NV",75
"543","ID","NY",7
"544","ID","OH",104
"545","ID","OK",266
"546","ID","OR",82
"547","ID","PA",9
"548","ID","RI",28
"549","ID","SC",266
"550","ID","SD",266
"551","ID","TN",266
"552","ID","TX",84
"553","ID","UT",187
"554","ID","VA",49
"555","ID","VT",113
"556","ID","WA",77
"557","ID","WI",113
"558","ID","WV",88
"559","ID","WY",266
"560","IL","IN",179
"561","IL","KS",203
"562","IL","KY",196
"563","IL","LA",193
"564","IL","MA",261
"565","IL","MD",253
"566","IL","ME",266
"567","IL","MI",258
"568","IL","MN",182
"569","IL","MO",21
"570","IL","MS",107
"571","IL","MT",191
"572","IL","NC",210
"573","IL","ND",69
"574","IL","NE",21
"575","IL","NH",63
"576","IL","NJ",245
"577","IL","NM",252
"578","IL","NV",212
"579","IL","NY",252
"580","IL","OH",183
"581","IL","OK",21
"582","IL","OR",205
"583","IL","PA",254
"584","IL","RI",259
"585","IL","SC",21
"586","IL","SD",21
"587","IL","TN",21
"588","IL","TX",203
"589","IL","UT",100
"590","IL","VA",238
"591","IL","VT",174
"592","IL","WA",210
"593","IL","WI",174
"594","IL","WV",199
"595","IL","WY",21
"596","IN","KS",242
"597","IN","KY",249
"598","IN","LA",252
"599","IN","MA",184
"600","IN","MD",166
"601","IN","ME",179
"602","IN","MI",171
"603","IN","MN",263
"604","IN","MO",108
"605","IN","MS",194
"606","IN","MT",254
"607","IN","NC",235
"608","IN","ND",156
"609","IN","NE",108
"610","IN","NH",150
"611","IN","NJ",158
"612","IN","NM",193
"613","IN","NV",233
"614","IN","NY",165
"615","IN","OH",262
"616","IN","OK",108
"617","IN","OR",240
"618","IN","PA",167
"619","IN","RI",186
"620","IN","SC",108
"621","IN","SD",108
"622","IN","TN",108
"623","IN","TX",242
"624","IN","UT",187
"625","IN","VA",207
"626","IN","VT",261
"627","IN","WA",235
"628","IN","WI",261
"629","IN","WV",246
"630","IN","WY",108
"631","KS","KY",259
"632","KS","LA",256
"633","KS","MA",208
"634","KS","MD",190
"635","KS","ME",203
"636","KS","MI",195
"637","KS","MN",245
"638","KS","MO",84
"639","KS","MS",170
"640","KS","MT",254
"641","KS","NC",259
"642","KS","ND",132
"643","KS","NE",84
"644","KS","NH",126
"645","KS","NJ",182
"646","KS","NM",217
"647","KS","NV",257
"648","KS","NY",189
"649","KS","OH",246
"650","KS","OK",84
"651","KS","OR",264
"652","KS","PA",191
"653","KS","RI",210
"654","KS","SC",84
"655","KS","SD",84
"656","KS","TN",84
"657","KS","TX",266
"658","KS","UT",163
"659","KS","VA",231
"660","KS","VT",237
"661","KS","WA",259
"662","KS","WI",237
"663","KS","WV",262
"664","KS","WY",84
"665","KY","LA",263
"666","KY","MA",201
"667","KY","MD",183
"668","KY","ME",196
"669","KY","MI",188
"670","KY","MN",252
"671","KY","MO",91
"672","KY","MS",177
"673","KY","MT",261
"674","KY","NC",252
"675","KY","ND",139
"676","KY","NE",91
"677","KY","NH",133
"678","KY","NJ",175
"679","KY","NM",210
"680","KY","NV",250
"681","KY","NY",182
"682","KY","OH",253
"683","KY","OK",91
"684","KY","OR",257
"685","KY","PA",184
"686","KY","RI",203
"687","KY","SC",91
"688","KY","SD",91
"689","KY","TN",91
"690","KY","TX",259
"691","KY","UT",170
"692","KY","VA",224
"693","KY","VT",244
"694","KY","WA",252
"695","KY","WI",244
"696","KY","WV",263
"697","KY","WY",91
"698","LA","MA",198
"699","LA","MD",180
"700","LA","ME",193
"701","LA","MI",185
"702","LA","MN",255
"703","LA","MO",94
"704","LA","MS",180
"705","LA","MT",264
"706","LA","NC",249
"707","LA","ND",142
"708","LA","NE",94
"709","LA","NH",136
"710","LA","NJ",172
"711","LA","NM",207
"712","LA","NV",247
"713","LA","NY",179
"714","LA","OH",256
"715","LA","OK",94
"716","LA","OR",254
"717","LA","PA",181
"718","LA","RI",200
"719","LA","SC",94
"720","LA","SD",94
"721","LA","TN",94
"722","LA","TX",256
"723","LA","UT",173
"724","LA","VA",221
"725","LA","VT",247
"726","LA","WA",249
"727","LA","WI",247
"728","LA","WV",260
"729","LA","WY",94
"730","MA","MD",248
"731","MA","ME",261
"732","MA","MI",253
"733","MA","MN",187
"734","MA","MO",26
"735","MA","MS",112
"736","MA","MT",196
"737","MA","NC",215
"738","MA","ND",74
"739","MA","NE",26
"740","MA","NH",68
"741","MA","NJ",240
"742","MA","NM",257
"743","MA","NV",217
"744","MA","NY",247
"745","MA","OH",188
"746","MA","OK",26
"747","MA","OR",210
"748","MA","PA",249
"749","MA","RI",264
"750","MA","SC",26
"751","MA","SD",26
"752","MA","TN",26
"753","MA","TX",208
"754","MA","UT",105
"755","MA","VA",243
"756","MA","VT",179
"757","MA","WA",215
"758","MA","WI",179
"759","MA","WV",204
"760","MA","WY",26
"761","MD","ME",253
"762","MD","MI",255
"763","MD","MN",169
"764","MD","MO",8
"765","MD","MS",94
"766","MD","MT",178
"767","MD","NC",197
"768","MD","ND",56
"769","MD","NE",8
"770","MD","NH",50
"771","MD","NJ",258
"772","MD","NM",239
"773","MD","NV",199
"774","MD","NY",265
"775","MD","OH",170
"776","MD","OK",8
"777","MD","OR",192
"778","MD","PA",265
"779","MD","RI",246
"780","MD","SC",8
"781","MD","SD",8
"782","MD","TN",8
"783","MD","TX",190
"784","MD","UT",87
"785","MD","VA",225
"786","MD","VT",161
"787","MD","WA",197
"788","MD","WI",161
"789","MD","WV",186
"790","MD","WY",8
"791","ME","MI",258
"792","ME","MN",182
"793","ME","MO",21
"794","ME","MS",107
"795","ME","MT",191
"796","ME","NC",210
"797","ME","ND",69
"798","ME","NE",21
"799","ME","NH",63
"800","ME","NJ",245
"801","ME","NM",252
"802","ME","NV",212
"803","ME","NY",252
"804","ME","OH",183
"805","ME","OK",21
"806","ME","OR",205
"807","ME","PA",254
"808","ME","RI",259
"809","ME","SC",21
"810","ME","SD",21
"811","ME","TN",21
"812","ME","TX",203
"813","ME","UT",100
"814","ME","VA",238
"815","ME","VT",174
"816","ME","WA",210
"817","ME","WI",174
"818","ME","WV",199
"819","ME","WY",21
"820","MI","MN",174
"821","MI","MO",19
"822","MI","MS",105
"823","MI","MT",183
"824","MI","NC",202
"825","MI","ND",67
"826","MI","NE",19
"827","MI","NH",61
"828","MI","NJ",247
"829","MI","NM",244
"830","MI","NV",204
"831","MI","NY",254
"832","MI","OH",175
"833","MI","OK",19
"834","MI","OR",197
"835","MI","PA",256
"836","MI","RI",251
"837","MI","SC",19
"838","MI","SD",19
"839","MI","TN",19
"840","MI","TX",195
"841","MI","UT",98
"842","MI","VA",230
"843","MI","VT",166
"844","MI","WA",202
"845","MI","WI",166
"846","MI","WV",191
"847","MI","WY",19
"848","MN","MO",105
"849","MN","MS",191
"850","MN","MT",257
"851","MN","NC",238
"852","MN","ND",153
"853","MN","NE",105
"854","MN","NH",147
"855","MN","NJ",161
"856","MN","NM",196
"857","MN","NV",236
"858","MN","NY",168
"859","MN","OH",265
"860","MN","OK",105
"861","MN","OR",243
"862","MN","PA",170
"863","MN","RI",189
"864","MN","SC",105
"865","MN","SD",105
"866","MN","TN",105
"867","MN","TX",245
"868","MN","UT",184
"869","MN","VA",210
"870","MN","VT",258
"871","MN","WA",238
"872","MN","WI",258
"873","MN","WV",249
"874","MN","WY",105
"875","MO","MS",180
"876","MO","MT",96
"877","MO","NC",77
"878","MO","ND",218
"879","MO","NE",266
"880","MO","NH",224
"881","MO","NJ",0
"882","MO","NM",35
"883","MO","NV",75
"884","MO","NY",7
"885","MO","OH",104
"886","MO","OK",266
"887","MO","OR",82
"888","MO","PA",9
"889","MO","RI",28
"890","MO","SC",266
"891","MO","SD",266
"892","MO","TN",266
"893","MO","TX",84
"894","MO","UT",187
"895","MO","VA",49
"896","MO","VT",113
"897","MO","WA",77
"898","MO","WI",113
"899","MO","WV",88
"900","MO","WY",266
"901","MS","MT",182
"902","MS","NC",163
"903","MS","ND",192
"904","MS","NE",180
"905","MS","NH",198
"906","MS","NJ",86
"907","MS","NM",121
"908","MS","NV",161
"909","MS","NY",93
"910","MS","OH",190
"911","MS","OK",180
"912","MS","OR",168
"913","MS","PA",95
"914","MS","RI",114
"915","MS","SC",180
"916","MS","SD",180
"917","MS","TN",180
"918","MS","TX",170
"919","MS","UT",161
"920","MS","VA",135
"921","MS","VT",199
"922","MS","WA",163
"923","MS","WI",199
"924","MS","WV",174
"925","MS","WY",180
"926","MT","NC",247
"927","MT","ND",144
"928","MT","NE",96
"929","MT","NH",138
"930","MT","NJ",170
"931","MT","NM",205
"932","MT","NV",245
"933","MT","NY",177
"934","MT","OH",258
"935","MT","OK",96
"936","MT","OR",252
"937","MT","PA",179
"938","MT","RI",198
"939","MT","SC",96
"940","MT","SD",96
"941","MT","TN",96
"942","MT","TX",254
"943","MT","UT",175
"944","MT","VA",219
"945","MT","VT",249
"946","MT","WA",247
"947","MT","WI",249
"948","MT","WV",258
"949","MT","WY",96
"950","NC","ND",125
"951","NC","NE",77
"952","NC","NH",119
"953","NC","NJ",189
"954","NC","NM",224
"955","NC","NV",264
"956","NC","NY",196
"957","NC","OH",239
"958","NC","OK",77
"959","NC","OR",261
"960","NC","PA",198
"961","NC","RI",217
"962","NC","SC",77
"963","NC","SD",77
"964","NC","TN",77
"965","NC","TX",259
"966","NC","UT",156
"967","NC","VA",238
"968","NC","VT",230
"969","NC","WA",266
"970","NC","WI",230
"971","NC","WV",255
"972","NC","WY",77
"973","ND","NE",218
"974","ND","NH",260
"975","ND","NJ",48
"976","ND","NM",83
"977","ND","NV",123
"978","ND","NY",55
"979","ND","OH",152
"980","ND","OK",218
"981","ND","OR",130
"982","ND","PA",57
"983","ND","RI",76
"984","ND","SC",218
"985","ND","SD",218
"986","ND","TN",218
"987","ND","TX",132
"988","ND","UT",235
"989","ND","VA",97
"990","ND","VT",161
"991","ND","WA",125
"992","ND","WI",161
"993","ND","WV",136
"994","ND","WY",218
"995","NE","NH",224
"996","NE","NJ",0
"997","NE","NM",35
"998","NE","NV",75
"999","NE","NY",7
"1000","NE","OH",104
"1001","NE","OK",266
"1002","NE","OR",82
"1003","NE","PA",9
"1004","NE","RI",28
"1005","NE","SC",266
"1006","NE","SD",266
"1007","NE","TN",266
"1008","NE","TX",84
"1009","NE","UT",187
"1010","NE","VA",49
"1011","NE","VT",113
"1012","NE","WA",77
"1013","NE","WI",113
"1014","NE","WV",88
"1015","NE","WY",266
"1016","NH","NJ",42
"1017","NH","NM",77
"1018","NH","NV",117
"1019","NH","NY",49
"1020","NH","OH",146
"1021","NH","OK",224
"1022","NH","OR",124
"1023","NH","PA",51
"1024","NH","RI",70
"1025","NH","SC",224
"1026","NH","SD",224
"1027","NH","TN",224
"1028","NH","TX",126
"1029","NH","UT",229
"1030","NH","VA",91
"1031","NH","VT",155
"1032","NH","WA",119
"1033","NH","WI",155
"1034","NH","WV",130
"1035","NH","WY",224
"1036","NJ","NM",231
"1037","NJ","NV",191
"1038","NJ","NY",259
"1039","NJ","OH",162
"1040","NJ","OK",0
"1041","NJ","OR",184
"1042","NJ","PA",257
"1043","NJ","RI",238
"1044","NJ","SC",0
"1045","NJ","SD",0
"1046","NJ","TN",0
"1047","NJ","TX",182
"1048","NJ","UT",79
"1049","NJ","VA",217
"1050","NJ","VT",153
"1051","NJ","WA",189
"1052","NJ","WI",153
"1053","NJ","WV",178
"1054","NJ","WY",0
"1055","NM","NV",226
"1056","NM","NY",238
"1057","NM","OH",197
"1058","NM","OK",35
"1059","NM","OR",219
"1060","NM","PA",240
"1061","NM","RI",259
"1062","NM","SC",35
"1063","NM","SD",35
"1064","NM","TN",35
"1065","NM","TX",217
"1066","NM","UT",114
"1067","NM","VA",252
"1068","NM","VT",188
"1069","NM","WA",224
"1070","NM","WI",188
"1071","NM","WV",213
"1072","NM","WY",35
"1073","NV","NY",198
"1074","NV","OH",237
"1075","NV","OK",75
"1076","NV","OR",259
"1077","NV","PA",200
"1078","NV","RI",219
"1079","NV","SC",75
"1080","NV","SD",75
"1081","NV","TN",75
"1082","NV","TX",257
"1083","NV","UT",154
"1084","NV","VA",240
"1085","NV","VT",228
"1086","NV","WA",264
"1087","NV","WI",228
"1088","NV","WV",253
"1089","NV","WY",75
"1090","NY","OH",169
"1091","NY","OK",7
"1092","NY","OR",191
"1093","NY","PA",264
"1094","NY","RI",245
"1095","NY","SC",7
"1096","NY","SD",7
"1097","NY","TN",7
"1098","NY","TX",189
"1099","NY","UT",86
"1100","NY","VA",224
"1101","NY","VT",160
"1102","NY","WA",196
"1103","NY","WI",160
"1104","NY","WV",185
"1105","NY","WY",7
"1106","OH","OK",104
"1107","OH","OR",244
"1108","OH","PA",171
"1109","OH","RI",190
"1110","OH","SC",104
"1111","OH","SD",104
"1112","OH","TN",104
"1113","OH","TX",246
"1114","OH","UT",183
"1115","OH","VA",211
"1116","OH","VT",257
"1117","OH","WA",239
"1118","OH","WI",257
"1119","OH","WV",250
"1120","OH","WY",104
"1121","OK","OR",82
"1122","OK","PA",9
"1123","OK","RI",28
"1124","OK","SC",266
"1125","OK","SD",266
"1126","OK","TN",266
"1127","OK","TX",84
"1128","OK","UT",187
"1129","OK","VA",49
"1130","OK","VT",113
"1131","OK","WA",77
"1132","OK","WI",113
"1133","OK","WV",88
"1134","OK","WY",266
"1135","OR","PA",193
"1136","OR","RI",212
"1137","OR","SC",82
"1138","OR","SD",82
"1139","OR","TN",82
"1140","OR","TX",264
"1141","OR","UT",161
"1142","OR","VA",233
"1143","OR","VT",235
"1144","OR","WA",261
"1145","OR","WI",235
"1146","OR","WV",260
"1147","OR","WY",82
"1148","PA","RI",247
"1149","PA","SC",9
"1150","PA","SD",9
"1151","PA","TN",9
"1152","PA","TX",191
"1153","PA","UT",88
"1154","PA","VA",226
"1155","PA","VT",162
"1156","PA","WA",198
"1157","PA","WI",162
"1158","PA","WV",187
"1159","PA","WY",9
"1160","RI","SC",28
"1161","RI","SD",28
"1162","RI","TN",28
"1163","RI","TX",210
"1164","RI","UT",107
"1165","RI","VA",245
"1166","RI","VT",181
"1167","RI","WA",217
"1168","RI","WI",181
"1169","RI","WV",206
"1170","RI","WY",28
"1171","SC","SD",266
"1172","SC","TN",266
"1173","SC","TX",84
"1174","SC","UT",187
"1175","SC","VA",49
"1176","SC","VT",113
"1177","SC","WA",77
"1178","SC","WI",113
"1179","SC","WV",88
"1180","SC","WY",266
"1181","SD","TN",266
"1182","SD","TX",84
"1183","SD","UT",187
"1184","SD","VA",49
"1185","SD","VT",113
"1186","SD","WA",77
"1187","SD","WI",113
"1188","SD","WV",88
"1189","SD","WY",266
"1190","TN","TX",84
"1191","TN","UT",187
"1192","TN","VA",49
"1193","TN","VT",113
"1194","TN","WA",77
"1195","TN","WI",113
"1196","TN","WV",88
"1197","TN","WY",266
"1198","TX","UT",163
"1199","TX","VA",231
"1200","TX","VT",237
"1201","TX","WA",259
"1202","TX","WI",237
"1203","TX","WV",262
"1204","TX","WY",84
"1205","UT","VA",128
"1206","UT","VT",192
"1207","UT","WA",156
"1208","UT","WI",192
"1209","UT","WV",167
"1210","UT","WY",187
"1211","VA","VT",202
"1212","VA","WA",238
"1213","VA","WI",202
"1214","VA","WV",227
"1215","VA","WY",49
"1216","VT","WA",230
"1217","VT","WI",266
"1218","VT","WV",241
"1219","VT","WY",113
"1220","WA","WI",230
"1221","WA","WV",255
"1222","WA","WY",77
"1223","WI","WV",241
"1224","WI","WY",113
"1225","WV","WY",88
